Customer,DBA Name,TDLR Number,City,State,Zip code
271 VENTURES LLC,271 WRECKERS,006428802C,GLADEWATER,TX,75647
271 VENTURES LLC,271 WRECKERS,0642881VSF,GLADEWATER,TX,75647
290 WRECKER SERVICE INC,HWY 290 WRECKER,0656637VSF,HOCKLEY,TX,77447
290 WRECKER SERVICE INC.,HWY 290 WRECKER,0650616VSF,HOCKLEY,TX,77447
"290 WRECKER SERVICE, INC.",HWY 290 WRECKER SERVICE,0657944VSF (Expired!),HOCKLEY,TX,77447
"290 WRECKER SERVICE, INC.",HWY 290 WRECKER,0545753VSF,HOCKLEY,TX,77447
"290 WRECKER SERVICE, INC.",HWY 290 WRECKER,005697854C,HOCKLEY,TX,77484
"4A'S ENTERPRISES, INC",ERIKA'S WRECKER SERVICE,0606250VSF,CORPUS CHRISTI,TX,78427
"4A'S ENTERPRISES, INC.",ERIKA'S WRECKER SERVICE,006061621C,CORPUS CHRISTI,TX,78247
A & L DELGADO'S CORPORATION,DELGADO'S WRECKER SERVICE LOT NO 2,0643569VSF,EAGLE LAKE,TX,77434
A & L DELGADO'S CORPORATION,DELGADO'S WRECKER SERVICE,005056941C,EAGLE LAKE,TX,77434
A & L DELGADO'S CORPORATION,DELGADO'S WRECKER SERVICE,0515235VSF,EAGLE LAKE,TX,77434
A & S WRECKER SERVICE,A & S WRECKER SERVICE,006598236C,EL CAMPO,TX,77437
"A WRECKER SERVICE,LLC",A WRECKER SERVICE,006060211C,STAFFORD,TX,77477
AAA ASSET RECOVERY LLC,AYALAS WRECKER SERVICE,0661061VSF,CORPUS CHRISTI,TX,78417
AAA ASSET RECOVERY LLC,AYALAS WRECKER SERVICE,006615671C,CORPUS CHRISTI,TX,78469
ABILENE AUTO WRECKING,DBA. ABILENE AUTO WRECKING,005059531C,ABILENE,TX,79601
ACE OF GALVESTON WRECKER SERVICE,ACE OF GALVESTON WRECKER SERVICE,0650631VSF,GALVESTON,TX,77552
ACE WRECKER SERVICE INC,RAY'S WRECKER SERVICE,005820848C,VIDOR,TX,77662
"ACE WRECKER SERVICE, INC.",RAY'S WRECKER SERVICE,0582200VSF,VIDOR,TX,77662
